b1,b2,b3,b4,b5,b6,b7,b8,b9
-1.845781,-.6300138,,,,,,,
-1.845781,-.6300138,,,,,,,
-3.689441,,,,,,,,
-1.242459,,,,,,,,
-1.100166,,,,,,,,
-.6057955,,,,,,,,
-.277825,,,,,,,,
-3.143529,-1.295686,,,,,,,
-3.143529,-1.295686,,,,,,,
-2.350619,-1.713318,-1.255156,-.7206836,-.1932823,.5527402,1.192988,1.692693,2.209193
-2.533789,-2.160213,-1.508352,-1.026955,.1609719,1.221716,2.062642,2.505695,3.080106
-3.917526,-3.662826,-3.221346,-2.898726,-1.50091,.0036386,1.467556,2.166768,2.942996
-1.469295,,,,,,,,
-1.999498,-1.71005,-1.431156,-1.126633,-.7527638,,,,
-2.752218,-2.030034,-1.131741,.0375427,1.277816,,,,
-1.626106,-1.006195,-.6588495,-.2765487,.2292035,,,,
-1.626106,-1.006195,-.6588495,-.2765487,.2292035,,,,
-1.626106,-1.006195,-.6588495,-.2765487,.2292035,,,,
-1.626106,-1.006195,-.6588495,-.2765487,.2292035,,,,
-1.626106,-1.006195,-.6588495,-.2765487,.2292035,,,,
-2.469741,-1.724784,-1.183573,-.5247838,.2475504,.9092219,1.239481,1.633141,2.038617
-1.203721,-.9929857,-.68405,-.3723696,.0756328,.6492833,1.018908,1.21348,1.640744
-.7049093,,,,,,,,
