b1,b2,b3,b4,b5,b6,b7,b8,b9
-3.000695,-2.524687,-2.006259,-1.654729,-1.162031,-.7305285,-.2308762,.1150904,.6387343
-1.770318,,,,,,,,
-2.494228,-2.052501,-1.394997,-.5313359,.3518417,1.254535,2.265256,2.749038,3.118747
-1.959916,-1.415794,-.9267125,-.5363446,.0143584,1.057433,1.446306,1.804367,2.162728
-3.38467,-2.560172,-2.098854,-1.214183,-.1282235,1.303009,2.588825,3.77149,4.90616
-2.219471,,,,,,,,
-3.380691,-2.459969,-1.078493,,,,,,
-3.380691,-2.459969,-1.078493,,,,,,
-3.380691,-2.459969,-1.078493,,,,,,
-2.022477,,,,,,,,
-1.217863,,,,,,,,
-1.775689,,,,,,,,
-3.652109,-2.948387,-2.230769,-1.616874,-.7156327,,,,
-2.879584,-2.557763,-1.987469,-1.358802,-.4886919,,,,
-2.855159,-2.43502,-2.18502,-1.729167,-.8333333,,,,
-1.009103,,,,,,,,
-.3520055,,,,,,,,
-.8643963,,,,,,,,
