b1,b2,b3,b4,b5,b6,b7,b8,b9
-1.483032,,,,,,,,
-.5220303,,,,,,,,
-1.164982,,,,,,,,
-1.191098,,,,,,,,
-1.3311,,,,,,,,
-1.294855,,,,,,,,
-1.57621,,,,,,,,
-1.074666,,,,,,,,
-5.681328,-.4987552,.459751,1.736929,3.175104,4.626556,5.972614,7.362656,9.076348
-1.786445,-.5517903,1.024936,3.040281,4.9789,6.920716,8.75,10.59974,12.82673
-2.860403,-1.194631,.7852349,2.830873,5.318121,7.71141,10.30604,13.1047,16.60403
-.3440253,-.1890671,.1271742,.4334764,.7128981,1.02033,1.34651,1.789248,2.003614
-.4123246,-.0979459,.113978,.2287074,.4308617,.6422846,.9952405,1.261273,1.718938
-1.959489,-1.822985,-1.571995,-1.17129,-.5847644,-.1365037,.3469837,.7472479,1.257155
-2.023416,-1.806703,-1.504132,-1.150597,-.3838384,.1152433,.5183655,.9058769,1.424242
-2.452216,-1.979712,-1.318206,-.5782168,.8579819,1.908169,2.756006,3.280299,3.671116
-2.214981,-1.648833,-1.065661,-.3360895,.381323,.9761673,1.631809,2.205253,
-2.314045,-2.071278,-1.611783,-.6607049,.2356654,.9658075,1.643346,2.200947,2.838506
-2.154601,-1.374676,-.9463513,-.4571676,.0429766,.5157197,.9325065,1.554658,2.161523
-2.274009,-1.988899,-1.631542,-.8204405,-.0863436,.5164758,1.033833,1.544846,2.244229
-2.051526,-1.880896,-1.565993,-1.130995,-.2304796,.6024574,1.297463,1.619501,2.088585
-2.200339,-2.017612,-1.746994,-.9198984,-.3056732,.2513124,.7517358,1.203387,1.91177
-2.19566,-1.68578,-1.13832,-.7986944,-.0058222,.5760409,1.184545,1.570925,2.016937
-2.226384,-2.04038,-1.761557,-1.043486,-.4096473,.0997625,.554175,1.012059,1.704184
-2.095381,-1.126506,-.8929719,-.528514,.1056225,.6522089,1.295181,1.75241,2.156225
-.9320498,-.7003397,-.4525481,-.0480181,.3270668,.6985278,1.065912,1.439185,1.986863
-.8713536,-.4746208,-.161902,.0218786,.3133022,.7004084,1.129522,1.582264,2.142941
-2.646772,-1.803289,-1.015225,-.1693057,.5876979,1.230207,1.780755,2.755177,4.074909
-2.32413,-1.864163,-1.15185,-.1949199,.6714522,1.51132,2.43291,,
-4.195419,-3.354331,-2.592699,,,,,,
-.7185473,-.2862084,.2892348,,,,,,
-.9675759,-.6651227,-.4028135,.0018871,.4659461,1.357523,1.980786,2.373306,2.757591
-1.822013,-1.308749,-.929445,-.4011289,.1204139,1.09238,1.771966,2.235936,2.753151
-2.266367,-1.515152,,,,,,,
.1858371,.4928367,.8096603,1.207532,1.666394,,,,
-2.431434,-1.914209,-.9241162,-.4717406,.0873677,.5904076,1.118667,1.779554,2.425805
-1.038086,-.7859375,-.4546875,-.2439453,-.0345703,.5044922,.8511719,1.272656,1.701172
-3.026052,-2.327056,-1.842122,-1.496233,-1.2172,-.9293785,-.5957313,-.091651,
-2.5,-2.069611,-1.634731,-1.286677,-.3847305,.6257485,1.568114,1.999251,2.685629
-3.83075,-3.020459,-2.605704,-2.234966,-1.918785,-1.558586,-1.094234,-.5182889,.1463112
